ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
1, T, Ego, 1, 2, Forward, 0, Ego, 0, , 4/14/2021 7:43:00 PM, (3 : 3)
1, T, Ego, 1, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 7:43:00 PM, (3 : 3)
1, T, Ego, 1, 2, Forward, 0, Ego, 0, , 4/14/2021 7:43:01 PM, (5 : 3)
1, T, Ego, 1, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:43:01 PM, (5 : 3)
1, T, Ego, 1, 2, Forward, 0, Ego, 0, , 4/14/2021 7:43:01 PM, (5 : 1)
1, T, Ego, 1, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:43:01 PM, (5 : 1)
1, T, Ego, 1, 2, Forward, 0, Ego, 0, , 4/14/2021 7:43:03 PM, (1 : 1)
1, T, Ego, 1, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:43:03 PM, (1 : 1)
1, T, Ego, 1, 2, Forward, 0, Ego, 0, , 4/14/2021 7:43:03 PM, (1 : 3)
1, T, Ego, 1, 2, Forward, 0, Ego, 0, , 4/14/2021 7:43:04 PM, (1 : 7)
1, T, Ego, 1, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:43:04 PM, (1 : 7)
1, T, Ego, 1, 2, Forward, 0, Ego, 0, , 4/14/2021 7:43:05 PM, (3 : 7)
1, T, Ego, 1, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:43:05 PM, (3 : 7)
1, T, Ego, 1, 2, Forward, 1, Ego, 0, , 4/14/2021 7:43:06 PM, (3 : 5)
1, T, Ego, 1, 2, Rotate Left, 1, Ego, 0, , 4/14/2021 7:43:06 PM, (3 : 5)
1, T, Ego, 1, 2, Forward, 2, Ego, 0, , 4/14/2021 7:43:07 PM, (5 : 5)
1, T, Ego, 1, 2, Forward, 2, Ego, 0, , 4/14/2021 7:43:08 PM, (9 : 5)
1, T, Ego, 1, 2, Rotate Right, 2, Ego, 0, , 4/14/2021 7:43:08 PM, (9 : 5)
1, T, Ego, 1, 2, Forward, 2, Ego, 0, , 4/14/2021 7:43:09 PM, (9 : 3)
1, T, Ego, 1, 2, Rotate Right, 2, Ego, 0, , 4/14/2021 7:43:09 PM, (9 : 3)
1, T, Ego, 1, 2, Forward, 3, Ego, 0, , 4/14/2021 7:43:10 PM, (5 : 3)
1, T, Ego, 1, 2, Rotate Left, 3, Ego, 0, , 4/14/2021 7:43:10 PM, (5 : 3)
1, T, Ego, 1, 2, Forward, 4, Ego, 0, , 4/14/2021 7:43:11 PM, (5 : 1)
1, T, Ego, 1, 2, Rotate Left, 4, Ego, 0, , 4/14/2021 7:43:11 PM, (5 : 1)
1, T, Ego, 1, 2, Forward, 4, Ego, 0, , 4/14/2021 7:43:12 PM, (11 : 1)
1, T, Ego, 1, 2, Rotate Left, 4, Ego, 0, , 4/14/2021 7:43:13 PM, (11 : 1)
1, T, Ego, 1, 2, Forward, 4, Ego, 0, , 4/14/2021 7:43:14 PM, (11 : 7)
1, T, Ego, 1, 2, Rotate Right, 4, Ego, 0, , 4/14/2021 7:43:14 PM, (11 : 7)
1, T, Ego, 1, 2, Forward, 4, Ego, 0, , 4/14/2021 7:43:15 PM, (13 : 7)
1, D, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 7:43:18 PM, (1 : 5)
1, D, Ego, 4, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:43:18 PM, (1 : 5)
1, D, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 7:43:19 PM, (1 : 1)
1, D, Ego, 4, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:43:20 PM, (1 : 1)
1, D, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 7:43:20 PM, (5 : 1)
1, D, Ego, 4, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:43:21 PM, (5 : 1)
1, D, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 7:43:21 PM, (5 : 2)
1, D, Ego, 4, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:43:21 PM, (5 : 2)
1, D, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 7:43:22 PM, (7 : 2)
1, D, Ego, 4, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:43:22 PM, (7 : 2)
